"Title","Author","Genre","Publisher","Publication Year","ISBN","Language","Page Count","Format","Cover Type","Best Seller","Rating","Condition","Price","Availability"
"Book Title 1","Author Name 1","Fantasy","Publisher Name 1","2020","1234567890123","English","320","Hardcover","Paperback","Yes","4.5","New","15.99","Yes"
"Book Title 2","Author Name 2","Mystery","Publisher Name 2","2019","1234567890124","English","220","Paperback","Hardcover","No","3.8","Used","9.99","No"
"Book Title 3","Author Name 3","Romance","Publisher Name 3","2021","1234567890125","English","185","E-book","Paperback","Yes","4.2","New","12.99","Yes"
"Book Title 4","Author Name 4","Historical Fiction","Publisher Name 4","2018","1234567890126","English","350","Paperback","Hardcover","No","4.0","Used","10.99","Yes"
"Book Title 5","Author Name 5","Science Fiction","Publisher Name 5","2022","1234567890127","English","400","Hardcover","Paperback","Yes","4.7","New","18.99","Yes"
"Book Title 6","Author Name 6","Biography","Publisher Name 6","2017","1234567890128","English","280","E-book","Paperback","No","3.9","New","11.99","Yes"
"Book Title 7","Author Name 7","Self-help","Publisher Name 7","2016","1234567890129","English","210","Paperback","Hardcover","Yes","4.3","New","13.99","Yes"
"Book Title 8","Author Name 8","Cookbook","Publisher Name 8","2015","1234567890130","English","120","Hardcover","Paperback","No","4.1","New","20.99","Yes"
"Book Title 9","Author Name 9","Children's Literature","Publisher Name 9","2023","1234567890131","English","130","Paperback","Hardcover","Yes","4.6","New","14.99","Yes"
"Book Title 10","Author Name 10","Thriller","Publisher Name 10","2014","1234567890132","English","310","E-book","Paperback","No","3.7","Used","8.99","No"
"Book Title 11","Author Name 11","Fantasy","Publisher Name 11","2020","1234567890133","English","320","Hardcover","Paperback","Yes","4.5","New","15.99","Yes"
"Book Title 12","Author Name 12","Mystery","Publisher Name 12","2019","1234567890134","English","220","Paperback","Hardcover","No","3.8","Used","9.99","No"
"Book Title 13","Author Name 13","Romance","Publisher Name 13","2021","1234567890135","English","185","E-book","Paperback","Yes","4.2","New","12.99","Yes"
"Book Title 14","Author Name 14","Historical Fiction","Publisher Name 14","2018","1234567890136","English","350","Paperback","Hardcover","No","4.0","Used","10.99","Yes"
"Book Title 15","Author Name 15","Science Fiction","Publisher Name 15","2022","1234567890137","English","400","Hardcover","Paperback","Yes","4.7","New","18.99","Yes"
"Book Title 16","Author Name 16","Biography","Publisher Name 16","2017","1234567890138","English","280","E-book","Paperback","No","3.9","New","11.99","Yes"
"Book Title 17","Author Name 17","Self-help","Publisher Name 17","2016","1234567890139","English","210","Paperback","Hardcover","Yes","4.3","New","13.99","Yes"
"Book Title 18","Author Name 18","Cookbook","Publisher Name 18","2015","1234567890140","English","120","Hardcover","Paperback","No","4.1","New","20.99","Yes"
"Book Title 19","Author Name 19","Children's Literature","Publisher Name 19","2023","1234567890141","English","130","Paperback","Hardcover","Yes","4.6","New","14.99","Yes"
"Book Title 20","Author Name 20","Thriller","Publisher Name 20","2014","1234567890142","English","310","E-book","Paperback","No","3.7","Used","8.99","No"
